	bio_celltype
pdacb_cell_569	Endothelial cells
pdacb_cell_570	Ductal - terminal ductal like
pdacb_cell_571	Cancer
pdacb_cell_572	Ductal - MHC Class II
pdacb_cell_573	Ductal - terminal ductal like
pdacb_cell_574	Ductal - terminal ductal like
pdacb_cell_575	Ductal - terminal ductal like
pdacb_cell_576	Ductal - MHC Class II
pdacb_cell_577	Ductal - terminal ductal like
pdacb_cell_578	Ductal - terminal ductal like
pdacb_cell_579	Ductal - CRISP3 high
pdacb_cell_580	Ductal - terminal ductal like
pdacb_cell_581	Ductal - terminal ductal like
pdacb_cell_582	Ductal - terminal ductal like
pdacb_cell_583	Cancer
pdacb_cell_584	Ductal - terminal ductal like
pdacb_cell_585	Ductal - MHC Class II
pdacb_cell_586	Ductal - terminal ductal like
pdacb_cell_587	Ductal - terminal ductal like
pdacb_cell_588	Ductal - terminal ductal like
pdacb_cell_589	Ductal - MHC Class II
pdacb_cell_590	Cancer
pdacb_cell_591	Cancer
pdacb_cell_592	Endothelial cells
pdacb_cell_593	Cancer
pdacb_cell_594	Endocrine cells
pdacb_cell_595	Ductal - terminal ductal like
pdacb_cell_596	Ductal - terminal ductal like
pdacb_cell_597	Cancer
pdacb_cell_598	Endothelial cells
pdacb_cell_599	Ductal - terminal ductal like
pdacb_cell_600	Ductal - MHC Class II
pdacb_cell_601	Ductal - terminal ductal like
pdacb_cell_602	Cancer
pdacb_cell_603	Ductal - terminal ductal like
pdacb_cell_604	mDCs
pdacb_cell_605	Ductal - terminal ductal like
pdacb_cell_606	Ductal - terminal ductal like
pdacb_cell_607	Ductal - terminal ductal like
pdacb_cell_608	Cancer
pdacb_cell_609	Endothelial cells
pdacb_cell_610	Ductal - MHC Class II
pdacb_cell_611	Ductal - terminal ductal like
pdacb_cell_612	Ductal - terminal ductal like
pdacb_cell_613	Cancer
pdacb_cell_614	Ductal - terminal ductal like
pdacb_cell_615	Ductal - MHC Class II
pdacb_cell_616	Ductal - terminal ductal like
pdacb_cell_617	Ductal - terminal ductal like
pdacb_cell_618	Cancer
pdacb_cell_619	Ductal - CRISP3 high
pdacb_cell_620	Ductal - terminal ductal like
pdacb_cell_621	mDCs
pdacb_cell_622	Ductal - MHC Class II
pdacb_cell_623	Ductal - terminal ductal like
pdacb_cell_624	Ductal - MHC Class II
pdacb_cell_625	Ductal - MHC Class II
pdacb_cell_626	Ductal - MHC Class II
pdacb_cell_627	Ductal - terminal ductal like
pdacb_cell_628	Ductal - terminal ductal like
pdacb_cell_629	Ductal - terminal ductal like
pdacb_cell_630	Ductal - terminal ductal like
pdacb_cell_631	Macrophages
pdacb_cell_632	Cancer
pdacb_cell_633	Ductal - terminal ductal like
pdacb_cell_634	Ductal - MHC Class II
pdacb_cell_635	Ductal - terminal ductal like
pdacb_cell_636	Ductal - MHC Class II
pdacb_cell_637	Endothelial cells
pdacb_cell_638	Monocytes
pdacb_cell_639	Cancer
pdacb_cell_640	Cancer
pdacb_cell_641	Ductal - MHC Class II
pdacb_cell_642	Ductal - terminal ductal like
pdacb_cell_643	Ductal - terminal ductal like
pdacb_cell_644	Ductal - MHC Class II
pdacb_cell_645	Ductal - MHC Class II
pdacb_cell_646	Ductal - terminal ductal like
pdacb_cell_647	Cancer
pdacb_cell_648	Ductal - terminal ductal like
pdacb_cell_649	Cancer
pdacb_cell_650	Ductal - terminal ductal like
pdacb_cell_651	Ductal - CRISP3 high
pdacb_cell_652	Endothelial cells
pdacb_cell_653	Cancer
pdacb_cell_654	Cancer
pdacb_cell_655	Cancer
pdacb_cell_656	Ductal - CRISP3 high
pdacb_cell_657	Cancer
pdacb_cell_658	Endothelial cells
pdacb_cell_659	Ductal - MHC Class II
pdacb_cell_660	Ductal - terminal ductal like
pdacb_cell_661	Endothelial cells
pdacb_cell_662	Ductal - terminal ductal like
pdacb_cell_663	Cancer
pdacb_cell_664	Ductal - MHC Class II
pdacb_cell_665	Ductal - CRISP3 high
pdacb_cell_666	Ductal - CRISP3 high
pdacb_cell_667	Ductal - CRISP3 high
pdacb_cell_668	Ductal - CRISP3 high
pdacb_cell_669	Cancer
pdacb_cell_670	Ductal - terminal ductal like
pdacb_cell_671	Ductal - MHC Class II
pdacb_cell_672	Ductal - terminal ductal like
pdacb_cell_673	Ductal - MHC Class II
pdacb_cell_674	Ductal - terminal ductal like
pdacb_cell_675	Ductal - MHC Class II
